Chosen_category,Complaint Description,Predicted category 1,Predicted category 2,Predicted category 3
Bad Patches,Agara main road in HSR layout was repaired after several years and felt very sad when I saw people are digging already... What a waste of money.... Hope authorities will make note of this and get this one fixed at the earliest. Please avoid such wasteful work in the future...,Bad Patches,Major repairs to municipal property,Minor repairs to municipal property
Unauthorised Food Selling   Preparation,I  am a regular commuter on route 90E (Majestic to Yeshwantpur via Malleshwaram 8th Main). \nYesterday I boarded a 90E bus (KA01 FA 1295) at 6pm from Majestic. The bus reached my destination (Malleshwaram 8th main) at 6.15pm. I would like to report extremely rude and unprofessional behavior on part of the conductor.\n\nThe conductor (a male in his 30s with moustache) kept shouting at passengers to go to the back of the bus throughout the short ride.\n To clarify - it is OK to ask people to start filling the bus at the back ; but do so in a polite manner! Instead this guy pushed people around like they were cattle. \n\nFurther  I showed my pass immediately to him but he asked for it 3 times during that 15 minute ride - which again is fine except for the rude way in which he did so.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Lots of problems because of stray dogs..\nchildren and others are unable to walk after dark. .whole night dogs bark continuesly.making it hell for all..many times they attack on house dogs at night..,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Roads at gottigere near to hanuman temple. Mapple bear school is very bad. Dangerous to travel with kids or alone. Need road work.,Bad Patches,Person falling in Manhole,Major repairs to municipal property
Municipal Land - Road   Footpath   Strom Water Drain,There are number of two wheelers parked on footpath at thavarakare main road near baniyan tree circle  and also parking on road side illegally creating huge traffic during peak hours.  which creates problems to people walking on footpaths.  kindly do the needful.,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain",Hawkers
Unauthorised Food Selling   Preparation,On immadehalli main road is not wide enough to adjust heavy construction buildings. There movement create a huge traffic and no police officer to restrict there access or check there permit. It\'s better to restrict there movement based on the time..,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,On immadehalli main road BMTC buses will create huge traffic as they are very big and people inside bus are very less. I request BMTC to provide smaller buses for this small roads and traffic can be reduced.,Bad Patches,Minor repairs to municipal property,Person falling in Manhole
Garbage not lifted from co-authorised collection point,Everyday garbage burning at KAS Officers Colony  Stage 2 btm  38th Main  7th Cross.,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Bad Patches,There is no dust bin in B Narayanpura area (exact location pinned in the map)  people are dumping garbage and made the place like hell with lot of foul smell and wastage....Need at least two or three big dust bin as early as possible.attached pic is self descriptive..,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Sweeping of road
Unauthorised Food Selling   Preparation,Please get rid of stray dogs on 19th Main road and 27th cross (at the end of 19th Main road).,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Proper electric supply to municipal properties,The street lights which are in BDA link road of Dwarakanagar  Channasandra is not working,Proper electric supply to municipal properties,Minor repairs to municipal property,Major repairs to municipal property
Minor repairs to municipal property,12th Main  1st Cross  100 Feet Road in Indira Nagar is in terrible condition with some road left here and there between the potholes since the past 5 years. Please repair it. Thank you!,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Major repairs to municipal property,Hi  We have very frequent and longer time power cuts almost everyday. Many times we have complained it get resolved by after 5 hours (yesterday we lost power at 10.30 AM in the morning and we got at around 3PM in the evening)  today also it went down at 10.30AM in the morning but till now we have not got power back even at 1PM. But  now in recent days its happening frequently. It is very difficult for us to stay without powers in this summer.  Please take some action to resolve this.,Major repairs to municipal property,Drainage chokes and blockages,Minor repairs to municipal property
Drainage chokes and blockages,Hazardous stinking smell at KBS entrance from past 1 week due to rains and drainage overflow. Needs to be fixed at the earliest,Drainage chokes and blockages,Cleaning of water entrance,Garbage not lifted from co-authorised collection point
Bad Patches,Can you please create a new bus stop in Begur-koppa road ( infront of MDVR Primerose apartment)  It will help all residents who stays in yelenahalli and akshayanagar east. This is a adjacent road which will connect to bannerghatta road.,Bad Patches,Minor repairs to municipal property,Municipal Land - Road   Footpath   Strom Water Drain
Proper electric supply to municipal properties,Dear Sir/Madam \n The street light hasnâ€™t been installed in front of our apartment from past 1.5 years. It is very dark in the area at night with no lights around and moreover  snakes and big rats have field time at night and it is very dangerous to move around near the house at night as sometimes snakes are sighted at broad day time as well.\nAlso this the main connectivity road for the park which is next to our apartment  many elders and kids who comes to walk in evening times are facing too much difficulty due to darkness. \n I would request if you could kindly look into this and install the Street lights.,Proper electric supply to municipal properties,Major repairs to municipal property,Bad Patches
Bad patches potholes on roads,IN BALAJI LAYOUT  S N LAYOUT AMCO LAYOUT AND SURROUNDING ARES ROAD POTHOLES ARE TOO MUCH.,Bad patches potholes on roads,Bad Patches,Repairs re-surfacing of roads footpaths
Unauthorised Food Selling   Preparation,Helmetless pillion,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Sweeping of road,Garbage and waste materials thrown on site extending to road ... This is a health hazard for surrounding area; leaves sidewalks / footpaths unusable forcing pedestrians to walk on road increasing the congestion and changes of a mishap. The traffic also suffers due to road being occupied by garbage and being used by pedestrians. If BBMP doesn\'t have space to sort garbage  it should first acquire it before forcing all the garbage being sorted in wards. You are ruining the city\'s beauty instead of improving it..,Sweeping of road,Garbage not lifted from house gully,Garbage lorry not reported for service
Unauthorised Food Selling   Preparation,Vibhutipura lake is back to a bad state. It requires urgent attention in terms of cleaning & preventing surrounding apartments to stop dumping waste into the lake,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,There are is a narrow stretch and half of which is a pothole. People have to stop and try to avoid the potholes. Its a very busy road 24/7 and still not one is even thinking about solving the issue in the road.,Bad Patches,Minor repairs to municipal property,Major repairs to municipal property
Municipal Land - Road   Footpath   Strom Water Drain,Footpath in totally dilapidated condition,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain",Hawkers
Municipal Land - Road   Footpath   Strom Water Drain,"I live in Vijaya Bank Layout  MSRS Nagar  Bilekahalli just off Bannerghatta Road. The footpath slabs in front of North and South Blocks of Vijaya Enclave were removed nearly 6 months back with the intention of relaying them as the tree roots had affected them. Till date  the footpath slabs lie stacked up one on top of the other making it impossible to use this footpath on 11th Cross (Deverachikanahalli Rd.). The BBMP has turned a blind eye everytime some development work has been taken up. The work is started  then left half done everytime. Even road sweeping has not been done for months  despite requests to the garbage contractor and representation to the authorities. The common response is \""lack of funds\""",Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages,Hawkers
Drainage chokes and blockages,The sewage drain is blocked and water is entering the basement through the floor,Drainage chokes and blockages,Overflowing drains or manholes,"Removal of silt from nalla across culverts, etc."
Collection point not attended properly,Huge garbage dump  before the City College Jayanagar.,Collection point not attended properly,Silt to be lifted on road,Sweeping of road
Shortage of water supply,Water is usually provided in the nights....,Shortage of water supply,Contaminated water supply,Leaks in water lines
Municipal Land - Road   Footpath   Strom Water Drain,The road connecting Outer ring road to Kempapura Hebbal along Anjaneyaswamy temple is now a boon to residents of the locality and mototrists. However drivers move at a high speed and pedestrians are not able to use the footpath since it is encroached by shop keepers. Especially the portion between Jain Heritage school and Netajinagar Layout is encroached by a chicken centre forcing pedestrians to use the road. These encroachments have to be removed urgently.,Municipal Land - Road   Footpath   Strom Water Drain,Private Land   Building   Society   Factories,Hawkers
Bad patches potholes on roads,Months back many roads & lanes were cut open deep to lay bigger sewerage pipes in shanthi nagar right up to Richmond Road.,Bad patches potholes on roads,Repairs re-surfacing of roads footpaths,Bad Patches
Drainage chokes and blockages,We are living in this layout since 2001  till date there is no sewage lines provided here  many of the houses have left their sewage water in open storm water drain causing health issues  there is no response from local BBMP office or local political leaders  can anybody help us in resolving this problem.,Drainage chokes and blockages,Overflowing drains or manholes,"Removal of silt from nalla across culverts, etc."
Collection point not attended properly,People\'s house help drop off their house\'s garbage at road corners. Why do they not keep it in their homes till the garbage auto comes to pick it up? Also  outside Airlines Hotel they separate garbage and leave the road in a mess.,Collection point not attended properly,Garbage not lifted from co-authorised collection point,Silt to be lifted on road
Unauthorised Food Selling   Preparation,I have seen lot of HTV and Buses taking U-Turn near nakundi signal (Opposite to total Mall) in mahadevpura inspite there is a NO U-Turn sign. I have never seen any traffic police to stop them for doing that. Please look into this.\n\nThanks\nNeal,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Seeing the real hell while travelling from Marthahalli bridge to CGI towards HAL... Don\'t know whether real hel is there are not but the passengers travelling are seeing that.. Feeling bad really,Bad Patches,Repair to damaged open SWD,"Providing repairing doors, windows of P.S. Blocks"
Bad Patches,Build the subway road from the Victoria road till the General KST Road  which solves 4 intersections.\n\n1. The Junction of Brigrade road and General KS Thimayya Road  Shanthala Nagar  Bengaluru  has created a bottleneck.\n\n2. Junction of General KS Thimayya Road and St Philomena Rd is another bottle neck junction.\n\nPlease construct subway road  from either of the road as follows:\n      1. From the General KS Thimayya Road till the General KST Road.\n      2.  From the Victoria road                         till the General KST Road.,Bad Patches,"Unauthorised stalls on roads, footpath or SWD drain",Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Please construct Construct the subway road in Trinity Circle  Ulsoor.\nMG road is lost its beauty just because of very heavy traffic and so the pollution as well.,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Silt to be lifted on road,1. Hudson circle is the heart of the City traffic. If this heart is slow whole city is slow.\n2. This will avoid 3 signals. Direct traffic will flow.\n3. Please construct subway from Corporation BusStop from Corporation Bus-Stop  i.e. Raja Rammohan Roy Rd  Ashwath Nagar. till Kempegowda road.,Silt to be lifted on road,Garbage not lifted from house gully,Garbage lorry not reported for service
Bad Patches,As the traffic is hectic and heavy  Please widen the MG road in front by acquiring the land of St. Marks Cathedral.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain"
Non attendant of Nuisance Detector,Wood or garbage is being burnt in an unoccupied plot of land on the koramangala main road  next to pai electronic showroom.,Non attendant of Nuisance Detector,Pollution due to chemical effluents,Air pollution
Unauthorised Food Selling   Preparation,Please change  singal time  by morning and evening because horrible time  we have stand in bike car,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Providing removing replacing dustbins,Everyday on the way back from Hebbagodi to Bommasandra  our bus takes a way across/adjacent to Chandapura where that particular area is filled with garbage especially plastic covers. I find pity to see cows and dogs wandering over them for some food waste or whatsoever. The scene looks so unhygienic and the air smells stinky even at 10 meters away.   I plead the team to take some action for this. I want to change my city because I know I have changed myself since a very long time.  Peace.,Providing removing replacing dustbins,Garbage not lifted from house gully,Collection point not attended properly
Unauthorised Food Selling   Preparation,Hi Sir \n\nMy resident is located in Mahadevapura. If i want to go Richmond town or MG road I have to cross the junction as mentioned below. \n\n1) Samsung junction  2) Marthahalli  3) KR Puram  4) NGEF signal\nI hope everyone from this area  if they are wish to enter the city will feel the same.\n\nOAR(old airport road)  OMR(old madras road) and Outer ring road - these roads are wider enough but still huge traffic. Need some plan on this.\n\nI request you to take immediate step on this.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from co-authorised collection point,Garbage causing eyesore  stink  health hazard,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Hawkers,Iam a consumer of indane gas Under distributor named Vasanth enterprises  indiranagar. When ever I booked for refilling cylinder the delivery people asking for extra money as service charge of Rs. 50 on delivery time than the bill amount and when I contacted the agency to enquir they refuse the extra charges other than the bill amount. I also checked with neighbours they told that the deliveryÂ  person asking extra money from each house. From this agency there is noÂ  fecility to deliver cylinder on sheduled time. So from past 3 years I am giving book & money to neighbours to collect the cylinder. neighbours won\'t be argue with this people so they have been giving extra money. Also I have informed to this agency but no use. This month I got a chance to collect cylinder directly from this delivery people on sarurday and after a long arguments they went with out extra money. Pls do needful.,Hawkers,Non attendant of Nuisance Detector,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,The road which connects Sarjapura road to Kadubeesanahalli via doddakanneli is completely non existent. Anyone plying on that road can feel the heat of that bad road. Its complete nightmare.Most of the resiedents in Sarjapura road use the same to commute to office daily.I request our civic body to fix the road as early as possible.,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Totally unusable road between Chalagattha and EGL  in the last 8 years  this road had only tar for a year or so. Please fix this soon,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,The raod over here is not tarred,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,There is a massive pothole right at the start of Kingston Road from the Richmond Road entrance. It is causing a lot a problems to everyone using the roads.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,The road in front of Bhagyalakshmi Avenue in Nyanappanahalli in Arakere Ward (Wardno:193) has not been asphalted. Whenever it rains the roads turn into a slush field and it is very challenging to walk on drive on it.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,Bore well road is with full of dangerous potholes. Even Heavy vehicles are not able to move. Request authorities to fix this road immediately.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,Garbage collection fills half the roads now. Can\'t walk or go on 2 wheeler,Bad Patches,Sweeping of road,Municipal Land - Road   Footpath   Strom Water Drain
Sweeping of road,Garbage has piled up for weeks. stinking. dangerous health hazard.,Sweeping of road,Removal of Debris,Garbage not lifted from co-authorised collection point
Unauthorised construction development,From evening 05.30 PM to 08.30 PM on Gnana Bharathi Road starting from Axis Bank Corner to Apollo Pharmacy / TVS Showroom Corner traffic is on full every day and the reason is bikes and cars are parking on both side though its mention that one side has to be use for parking on every alternative days i.e. one side on odd days and vice-verse. So please take strict action on it who will keeping bikes or cars on wrong side with this buses and other vehicles will ply smoothly.,Unauthorised construction development,Bad Patches,Person falling in Manhole
Municipal Land - Road   Footpath   Strom Water Drain,Kindly observe the pictures posted in this complaint. Blatant encroachment of footpaths right on Horamavu Main Road - Opposite Sobha Textiles/ Hypermarket. With Hawkers & vehicles randomly parked  there is no space for pedestrians to walk - specially in the evenings. This is blatant encroachment of footpath by storing heaps of timber on the footpath. ... & This is happening on a main busy road ,Municipal Land - Road   Footpath   Strom Water Drain,Hawkers,Private Land   Building   Society   Factories
Bad Patches,Half of the road is having pothole so people use other half road resulting in accidents,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Proper electric supply to municipal properties,Street light is not working from past one month and complaint to the bbmp callcenter is waste of use since still not resolved.,Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property
Bad Patches,There are no such utility center in Gottigere which can help thousands of people who stays in and aorund Gottigere.,Bad Patches,Minor repairs to municipal property,Major repairs to municipal property
Unauthorised Food Selling   Preparation,Clean Gottigere lake ASAP. The lake spreads very bad smell who stays and travels near the lake.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Major repairs to municipal property,There are no proper street lights on Gottigere lake road till Doddakammanahalli. People who travel from NICE road-Bannerghatta Road Junction towards Begur  Doddakammanahalli  Ramanashri Nagar  Hulimavu and other areas take this route and suffer lot of inconvenience due to this. Please act as soon as possible and fix the issue.,Major repairs to municipal property,Proper electric supply to municipal properties,Minor repairs to municipal property
Municipal Land - Road   Footpath   Strom Water Drain,Lot of bad road near bus stop heavy traffic occurs because of that bad road please put road or cement near lingarajapuram bus stop near Charles school just before the the bridge starts on left side near temple. because of bad road heavy traffic jam occurs my name thouheed - 9880986876,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages,Air pollution
Unauthorised Food Selling   Preparation,This is the state of HRBR layout every time it rains the road is filled with rain water! some car bike and auto\'s  water enters and spoil\'s their vehicles . The drainage system is very poor and a lot of waste is also being dumped in this same area as this a low line area water gets tangled here and thus this level rises & the very same rain water enters into my house including the drainage water which starts overflowing and giving a very foul smell!,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Haralur road  which is daily used by thousands of people to commute to Electronic city is filled with huge potholes and with unscientific humps. Its having more than 30 humps in 4-5 Kms. Its the worst maintained road in Bangalore and a dangerous road for commuters due to the potholes and unscientific humps,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Odour  foul smell  from drains
Proper electric supply to municipal properties,I am working in vydehi office and i am staying near itpl . i used to go  by walk only to office.In that road none of the  street lights are not working. I don\'t know whom i need to contact. Could you please help us to solve this problem?. It is too difficult to travel in night because it is too dark and so much of street dogs are also there . it is creating a  problem for patients that depends on the vydehi hospital,Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property
Garbage not lifted from house gully,Today around  9.15 am I have seen a person from his car (KA08 M4413) thrown waste papers on white field main road. It happened near to Big bazar signal. First thing is he should not do this. and more over he has thrown without caring who is coming behind  if something goes wrong and the news paper fall on window of any car  it will be a serious damage. please look into this.,Garbage not lifted from house gully,Non attendant of Nuisance Detector,Municipal Land - Road   Footpath   Strom Water Drain
Minor repairs to municipal property,27th main ejipura has this pipes all over the road... It\'s causes huge jams.... Also it has plenty of potholes.. Please resolve\n - Pothole spotted at Modern Homes  27th Main Road  Ejipura  Bangalore  Karnataka  India,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,- Pothole spotted at Srinivasa Nilayam  Ejipura  Bengaluru  Karnataka 560095  India,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Bad Patches,Dear Sir  \nThere is an unseemly traffic in outer ring road (Rammurthynagar ).. it takes 30 mins to get into Rammurthynagar main road because of traffic. and from there raghavendra circle is ever jammed and takes another half an hr to reach home daily. requesting you to draw solution for the same. thank you,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,All vehicles allowed by police even though one way board there.,Bad Patches,Odour  foul smell  from drains,Drainage chokes and blockages
Unauthorised Food Selling   Preparation,Hello Sir  I am sushrut kulkarni  staying at Mayura Ecity apts  opp to four points shop. we have a big issue of Stray dogs. there are about 20-30 dogs who bark incessantly every night causing sleepless nights. They also have bitten couple of people in our area. Kindly take action ASAP.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,I see a bunch of 15-20 dogs everyday in my lane  barking all the night and scary to reach home in the night,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Please lay a new tar road in and around the Kathriguppe main road lot of potholes very risky to drive in the rain and bikes are getting skid because of poor road please take urgent action for this lot of vehicles move in the circle.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Bangalore has very Poor infrastructure - Narrow bridges  Narrow Flyovers  very less flyovers  Roads are narrow  No good connectivity of Roads  Very less roads  needs more new roads  Smaller roads  Bad Roads  Bad Lake Management  Bad Ports  Less Parking Lots  \n-------- ........................................ ........................................... ....................................................................................  ............... ........................ ................................................................................      \nNo good Bus terminals and less Bus terminals  No Service roads  very less Service roads  Narrow Service roads  Narrow circles  Smaller Circles and Junctions. poor infrastructure in Bus stops and railway stations with less Parking lots. No space for PARKS and Temples. \n\nVery Poor electricity service. very Less fire engines and Stations.\n................................ ................................................... .............................\n\n................................. ........................... ................................................................... ................................................... ...........................................\nNEWS WEB LINK:\n-------------   .............................................. ....................................................................................   ............................\n http://www.business-standard.com/article/news-ians/bengaluru-think-tank-urges-urgent-action-on-city-infra-116082900471_1.html\n\n................................. ........................... ................................................................... ................................................... ...........................................\nBangalore has very Poor infrastructure in all the sectors all over the City,Bad Patches,Major repairs to municipal property,Bad patches potholes on roads
Drainage chokes and blockages,Dear Sir  We live in NANDINI LAYOUT DOLLAR SCHEME.The road until now was named as first circular road. Since about 2-3 months  new name is painted on the board as 3rd main road  Nanjundeshwar nagar. Our road is between Nandini layout dollar scheme and nandjundeshwar nagar.,Drainage chokes and blockages,Unauthorised construction development,Private Land   Building   Society   Factories
Bad Patches,Potholes have eroded the road and its also filled with mud and water.  dangerous for 2 wheelers,Bad Patches,Major repairs to municipal property,Minor repairs to municipal property
Bad Patches,I would like an increase in bus service for route number WFS-1,Bad Patches,Minor repairs to municipal property,Person falling in Manhole
Bad Patches,The flyover built at nagavara has been rendered pretty useless because it has only shifted the jam to Manyata Tech park gate due to the bus stop right after the flyover that blocks half the road and the manned signal for pedestrian crossing halting traffic from the descending flyover only makes it worse. There was a board directing BMTC buses to the service road for a day which was ignored as usual and then the board also disappeared. This needs to be enforced too!,Bad Patches,Minor repairs to municipal property,Sweeping of road
Bad Patches,Traffic jams in main road parking,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain"
Unauthorised Food Selling   Preparation,There is no Bus Shelter  available near Eco-Space both the sides.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,The road leading to NPS yeshwantpur from tumkur road is horrible and full of potholes,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,In our area all street roads are too bad,Bad Patches,Person falling in Manhole,Major repairs to municipal property
Bad Patches,I would like an increase in bus service for route number 15G,Bad Patches,Minor repairs to municipal property,Person falling in Manhole
Unauthorised Food Selling   Preparation,Trees and walls are filled with PG and other promotion posters are pinnde into the trees all atound the area. Complete area is seen only these things.\n\nIllegal banners for all the purpose is seen all over the area  where it will be so disturbing for Citizens.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from co-authorised collection point,Near ayappa temple vanerpet,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Garbage not lifted from co-authorised collection point,Garbage. near infant Jesus church road viveknagar  rose garden bus stop,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Municipal Land - Road   Footpath   Strom Water Drain,Place:Bangalore\nArea:Malleswaram\nExact Location:17th Cross Road\nLandmark:As you enter from Sampige Road and enter 17th Cross road  Malleswaram\nThe builder has constructed a shed with blue co lour sheets encroaching the entire footpath and leaving pedestrians no choice to walk on footpath but forced pedestrians to walk on main 17th cross road with heavy traffic 24/7.,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain",Drainage chokes and blockages
Bad Patches,Our area is bad suppose of there is a slum area and the drainage is very bad and enclosed and the wearing of garbage      ,Bad Patches,Minor repairs to municipal property,Odour  foul smell  from drains
Unauthorised Food Selling   Preparation,SIR There is no pedestrian safety in Bangalore as this horrific accident is dotted by a number of educational institutions. Traffic signals has to be recalibrated to cross Zebra crossings at major Traffic junctions. In Sec. 22 of KMC Act 1976  the Corporation is duty bound to design  build & maintain Roads  pavements  streetlights & pedestrian crossings. Private schools should ensure childrenâ€™s safety and adhere the SC guidelines to install GPS systems in Buses within 3 months.  The Apex court also made it mandatory to have speed Governors with a maximum speed limit of 40 KMPH and to display the details of the childrenâ€™s on Board.  And this is clear violation of SC order. Pls take action in regarding this sir.,Unauthorised Food Selling   Preparation,Shop open on weekly holiday,Trade without License
Municipal Land - Road   Footpath   Strom Water Drain,Two wheelers are are being rampantly driven on the footpath of 23rd cross road of Banashankari second stage at the traffic signal where the said cross road joins KR road in front of Sridevi Nursing Home. Kindly initiate necessary action against these offenders to make the footpaths safe for pedestrians.,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages,Hawkers
Unauthorised Food Selling   Preparation,The road connecting Kaderanahalli Cross from the outer ring road after the underpass to Subramanyapura Road is a one way. The one way rule is being voilated by motorists on this stretch of road. Kindly check the lawlessness to avoid any mishaps. Thanks & Regards,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,The left turn at the Sarakki Gate signal junction towards Illyas Nagar from Kanakapura on the outer ring road is blocked by the vehicles which are are supposed to move straight towards the Banashankhri Temple. I request the Bangalore Traffic Police to check on this as bringing lane discipline would ease the congestion at the junction.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,The 2nd main road adjacent to Minto Eye Hospital of New Tharugupete is in a very condition. Kindly initiate necessary action for its repair immediately. Regards,Bad Patches,Odour  foul smell  from drains,Major repairs to municipal property
Unauthorised Food Selling   Preparation,The stretch of diagonal road connecting the outer ring road from Deve Gowda Petrol Pump through the underpass from Kadarenahalli to Subramanya Pura Road at the junction has huge potholes. Kindly do the needful immediately.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Shortage of water supply,All ready made complaint\nany up date,Shortage of water supply,Contaminated water supply,Leaks in water lines
Fogging,The main bus stand at Majestic there is need for shelter  as now it is exposed to sun and rain  both during summer and rainy seasons one cannot use this  Also the subway connecting majestic to railway station it should be ramp based  because the lakhs come with huge luggage and they find it difficult to lift and climb the stair case,Fogging,Mosquito nuisance,Garbage not lifted from house gully
Shortage of water supply,As we see the ward in already developed from past 4 years and populated   we still dont see the Bwssb  water supply in vigneshwara nagar.thare is no drinking water supply till now . I would request the BBMP officials to be noted on this and resolve at the earliest.,Shortage of water supply,Contaminated water supply,Leaks in water lines
Removal of Debris,Construction Debris dumped on the newly widened Mysore Road between Gaali Anjaneya Temple and BHEL Circle. The road itself is asphalted badly and the illegal vendors are back selling flowers. If anyone says something  then he is labelled Anti Hindu! Only people who have suffered because of the activities of the temple such as blocking the roads on Hanuman Jayanthi  Ramanavami knows the difficulties. The road near Mysore road flyover is blocked entirely on Bakrid day. This is the speciality of India. Anybody can inconvenience  public in the name of religion.,Removal of Debris,Collection point not attended properly,Providing removing replacing dustbins
Bad Patches,Dear Team \nThis is report about the traffic that is created near Electronic City Phase 2 Service Road heading towards TCS and Mahindra Satyam . And this is happening everyday where we are almost stuck for 30 to 40 mins on the service road around 11 AM . I have been facing this since 3 years,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Drainage chokes and blockages,In total violation a Bar & Restaurant is allowed to function in a residential area. Page 3 Bar & Restaurant is at the corner of entrance to the 10th Main Road  2nd Stage  NGEF Layout  Nagarbhavi.\nThe entire stretch of 30 Meters is blocked on both sides due to two-wheeler parked by the Bar customers.\nThis bar functions well beyond 11 pm on most weekdays also and the drunk people come on the road and block vehicles entering the layout. This is very serious issue for Safety and has to attended to immediately.,Drainage chokes and blockages,Unauthorised construction development,Private Land   Building   Society   Factories
Municipal Land - Road   Footpath   Strom Water Drain,In Yeshwatapur  the Junction where Digital Park road and MEI road meet (Near Hundai Service Center) was jamming everyday for 1-2 hours iin the morning around 8-10 AM  since a week. This was happening because of 3 line parking of trucks from all the sides for a building construction happening next to that junction. They have already occupied half of the road by dumping the soil and concrete on the road itself.\n\nI wonder who has given the permission for them but the commuters like us are suffering daily and getting delay to our offices at that are.\n\nPlease resolve the issue at the earliest.,Municipal Land - Road   Footpath   Strom Water Drain,Bad Patches,"Unauthorised stalls on roads, footpath or SWD drain"
