Chosen_category,Complaint Description,Predicted category 1,Predicted category 2,Predicted category 3
Bad Patches,They are widening the Mysore roads much more than the current road. Relatively Mysore Roads are Wider than Bangalore roads. Mysore being a small city still do great job for the future roads. \nWhy NARROW ROADS IN CAPITAL CITY.\n------------------------------------------  ----------------------------------------- -----------------------------------------\nWhy NARROW ROADS IN CAPITAL CITY. Small cities roads are wider than Bangalore roads,Bad Patches,Major repairs to municipal property,Bad patches potholes on roads
Drainage chokes and blockages,A storm water drain has been constructed at the junction of  High Street and Lloyd Road.  The drain projects 12 inches above the rest of the road causing motorcyclists to lose their balance and the underside of cars to scrape against the road.\n\nIt needs to be graded to be flush with the rest of the road,Drainage chokes and blockages,Bad Patches,"Removal of silt from nalla across culverts, etc."
Garbage not lifted from house gully,The lake inside RMZ eco world  Devarbisanahalli village  outer ring road is now completely covered by plants and garbage. It also smells very bad. please take necessary action to protect this lake and aquatic habitat.,Garbage not lifted from house gully,Providing removing replacing dustbins,Collection point not attended properly
Bad Patches,Road divider towards ETA Namma Mall (Tank Bund Road ) form magadi road is not visible during night time and causing accidents. Please paint white or insert reflectors at the earliest to avoid accidents,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Municipal Land - Road   Footpath   Strom Water Drain,There\'s absolutely no footpaths area left to walk on in 4th cross  kasturinagar  near SBI branch.  Recently  we were almost hit by a car while walking in that road  as the footpath area has been encroached by residents in that road  as they have converted it as their personal garden space. Would help if the authorities can look into this issue allowing pedestrian some walking space.,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain",Hawkers
Bad Patches,Poor Sarjapura Road:\n\nWe all might have heard of sarjapura road. The hustling and bustling stretch starting from Bellandur Cross from Agara Junction  below the flyover all the way till DeckAthlon is a  painful journey that makes anyone sick. Large number of vehicles ply on this road . Being IT hub due to presence  of Wipro premises  in the last 4-5 years nothing has changed . Except the growing apartments along the stretch. The road has gone from bad to worst. \n\nInspite of having landmark entities like Suncity  Wipro   Spencers  Kasavana halli lake  etc the roads are in a very poor condition and a big NO NO for travel.\n\nRequest for  someone to please look  into this and resolve.,Bad Patches,Major repairs to municipal property,Odour  foul smell  from drains
Garbage not lifted from house gully,We have a medical store and we are facing problems disposing waste  as nobody comes to pickup the waste we are forced to either dispose it on road or nearby empty site. \nplease look into it and provide a solution.,Garbage not lifted from house gully,Sweeping of road,Cleaning of P.S.C. block channels
Unauthorised Food Selling   Preparation,Road starting from 28th Main Cross   Hosapalya Main road to Kudlu  is full of Potholes.  Please fix the same. Vehicles try to avoid them   resulting in slow traffic or Jam.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Hello. It has been like over an year that i have shifted to this locality. The locality was good open with fresh air. Then there started stinking smell of garbage which does not exist now.\n\nMy concern is everyone uses vehicle to commute to office. And we pay road tax and what not  where is the road is my question ? Please see for your self in the images.\n\nGovernment collect millions & Billions of rupees from Public for development of the country and this is what they do ? Civic authorities should become more responsible of their work and take it more seriously.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Minor repairs to municipal property
Bad Patches,The 10th cross road in madiwala maruti nagar was dug up last july due to bwssb work and since then it has been left with potholes and without asphalt. The condition is very bad and request bbmp to asphalt (tar) that road. it is road parallel to venkateshwara college.,Bad Patches,Bad patches potholes on roads,Repairs re-surfacing of roads footpaths
Overflowing drains or manholes,Dear sir \nCan you please let me know what is happening at dry waste collection which is getting worst near esteem classic,Overflowing drains or manholes,Silt to be lifted on road,Drainage chokes and blockages
Removal of rank regulation on roads,KINDLY CLEAR THIS ISSUE ITS V. HARMFUL POLLUTION AND HEAVY JAM,Removal of rank regulation on roads,Repairs re-surfacing of roads footpaths,Signals
"Unauthorised stalls on roads, footpath or SWD drain",Frazer Town - the one way over the railway line is one of the most highly abuses one way road.  People drive from the wrong side as matter of right.  Hope this could be attended to as any accident will drop people down the bridge onto the railway track.,"Unauthorised stalls on roads, footpath or SWD drain",Municipal Land - Road   Footpath   Strom Water Drain,Unauthorised Food Selling   Preparation
Bad Patches,The road passing through Doddanekundi  connecting Old Airport Road(After Bore-well stop) and the Ring Road(Near Soul Space Arena Mall)  has become a busy road and the traffic is increasing day by day. It is astonishing  why only this road has not been relayed under the Gramin Sadak Yojana and the thousands of commuters are put to the daily troubles. Appeal to the Authority is to take up repair of this road on priority to ease the difficulties of commuters.,Bad Patches,Major repairs to municipal property,Odour  foul smell  from drains
Collection point not attended properly,Tar not put for the Road since long time,Collection point not attended properly,"Removal of silt from nalla across culverts, etc.",Bad Patches
Bad Patches,Basapura village road is filled with patholes and it\'s becoming worst day by day.. ppl are struggling to cross those patholes and would request you fix the same ASAP,Bad Patches,Sweeping of road,Minor repairs to municipal property
Bad Patches,The potholes are huge and because of this  there is traffic jam on a daily basis.,Bad Patches,Person falling in Manhole,Major repairs to municipal property
Bad Patches,Doddanekundi main road is riddled with potholes. These are proving to be very dangerous. A small stretch of 10 meters has more than 5 potholes.,Bad Patches,Major repairs to municipal property,Odour  foul smell  from drains
Unauthorised Food Selling   Preparation,The Mobile Tower is Placed in a thickly populated residential area  lot of health issues may arise for all age group of population. And more over it creates a hell lot of noise of generator which is used every time when their a power cut. it could be early in the morning  or late in the midnight no matter  if their is a power cut  immediately this generator will on and creates enough noise pollution. This is really disturbing a small infants  aged people in and around this place.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,The Ramamurthy Nagar junction is an important junction where 8 roads meet.  The roads surrounding the junction and the footpaths near it are in very bad condition.  Improving these roads and footpaths will ease traffic considerably.,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,BBMP dug the sides of the roads in 4th block for drainage work and never fixed it. It\'s pending from two months. No actions taken even after following up.,Bad Patches,Minor repairs to municipal property,Pre-monsoon works halted
Bad Patches,The Hennur Main Road is riddled with deep pot holes.  This road is extensively used  but lacks street lighting  and has very serious potholes.  Things are made worst by digging the sides for drainage  which is an ever lasting programme.  One side of the road is partially done recently  but the sewage people have dug the newly done road at least in two places.  these area will not be covered again until the next tarring programme comes. A portion of this new road is showing the sign of developing pot holes again.  Will this problem be ever solved  I am justified in questioning this by experience.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages
Bad Patches,Hi  The roads in Mahadevapura Residential area is in very poor condition. A few roads in a very poor condition and most of the roads have many potholes. This is a nightmare during power outage and during rainy season. I request you to look into the same and do the needful.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Person falling in Manhole,There are a lot of unfinished and dirty roads in my area we cant even ride our bike properly i see a lot of accidents just because of these stupid roads   no proper street lights  we face a lot of water supply problems the MLA of our ward is none other then the home minister himself Mr K J George  if his ward is like this then how could our bengaluru city be developed.,Person falling in Manhole,Garbage not lifted from co-authorised collection point,Contaminated water supply
Pollution due to chemical effluents,Dear Sir \n\nI being a sufferer of a public nuisance am helpless to report an issue which is causing serious threat to my and my families\'s health on a regular basis and which is not taken care of seriously till now.\n\nAt 4:00 AM everyday  they start their business and is breaking down my and my familiy\'s health - gradually raising serious health problems.\n\nI am taking about VMR Granites large granite cutting factory just beside my apartment in Vandana Earls Court in Kudlu Main Road  behind VGP Layout. The amount of noise the factory produces is tremendous. And I am sure you would not have wanted such a huge noisy environment beside your family  especially if youhave children and parents. It is posing serious threat due to the following:\n\nAs per the directions provided by KSPCB  they were asked to build extra walls and the entrance facing away from the apartments. Also  they were asked to operate 10 - 12 hours daily.\n\nHowever  they are violating the norms without any heed to the authorities  and breaking the peace of silence of sleep as early as 4:00 AM morning every day. I have even proof of their working procedures  whereas they are closing after 10:15 PM. Their normal working hours is approx 19 hours daily.\n\nThis way  I and my helpless parents and siblings are not having proper night\'s sleep and those who stay in the day bear the wrath of noise.\n\nThis is a common problem which is faced by my fellow apartment owners as well.\n\nRequest you to please deal with this and help us out.,Pollution due to chemical effluents,Air pollution,Running without licence
Bad Patches,World record for smallest and narrowest national highway NH7. Please widen the road,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages
Bad Patches,I demand that the officials get working on this ASAP. Get the roads in perfect driveable condition. Residents have been waiting for years now.,Bad Patches,Person falling in Manhole,Major repairs to municipal property
Drainage chokes and blockages,Wanted to extend the roads for moving cars and heavy vechiles and give us parking place to avoid free walking to public  regards  pradeep,Drainage chokes and blockages,Unauthorised construction development,Repairs re-surfacing of roads footpaths
Unauthorised construction development,Please Widen the road and connect the Leela Palace road and 80ft road which is pending since JB Nagar formation.,Unauthorised construction development,Municipal Land - Road   Footpath   Strom Water Drain,Municipal Plot
Unauthorised Food Selling   Preparation,I live in Manorayanpalya  R.T. Nagar  Bangalore. Every once in a while the KEB people come and cut leaves and branches from trees lining the roadside and leave them on the road. As they are never picked up after that they either start clogging the drains or one of our neighbours burn them. People also start adding garbage to the pile. This garbage is burned right under my window and is causing me huge discomfort as I am allergic to smoke. Any amount of complaining is not working. Please do something about this as soon as possible and devise a permanent solution.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from co-authorised collection point,Its been more than 2 months or three that my complaint from my other id has  not been taken care by one. I stay in electronics city phase -2  and near my house a hell lot garbage is thrown near the road as there are no dust bins placed anywhere in the area. I figured this issue 3 months back but NOBODY is interested to care about it.. but the only thing happens is that I get calls for feedback on the issue whether it is solved whereas the issue is still persisting.. another problem is the mud roads in E city Phase -2. Just live for one day in electronic city phase-2 and you will know in what kind of a hell we are living everyday in rainy season. I Request you to please look into it ASAP. Thank you.,Garbage not lifted from co-authorised collection point,Collection point not attended properly,Sweeping of road
Sweeping of road,Please change the lady cleaner at Anantha Nair Road 2nd square Murphy town,Sweeping of road,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully
Bad Patches,Autorickshaws block the traffic in the Immadihalli mainroad very often. The share auto guys always place one or two autos over there and take passengers... and there is a sign board for No Parking.. they have even turned it to hide it. Lots two wheelers & Cars gets parked over there. There should be a traffic police to fix these guys.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Collection point not attended properly,Hi \n\nThere are lots of stray dogs that are around this area due to the increase in the number of small meat stalls. Need immediate attention to remove these stray dogs which chase vehicles at night and are a hazard to people around.,Collection point not attended properly,"Removal of silt from nalla across culverts, etc.",Garbage not lifted from house gully
Bad Patches,No zebra crossing or overbridge near New Horizon College/ Cessna Business Park. Crossing road is dangerous and most people cross road dangerously as there is no overbridge and there is a underpass nearby so vehicles come with speed. Crossing road is difficult for both people on right and left side of the flank.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Drainage chokes and blockages,Near to c.h.s school   gandhinagar. There a restaurant have waste water flowing.,Drainage chokes and blockages,Leaks in water lines,Overflowing drains or manholes
Drainage chokes and blockages,Near to c.h.s school   gandhinagar. There a restaurant have waste water flowing.,Drainage chokes and blockages,Leaks in water lines,Overflowing drains or manholes
Bad Patches,After BBMP filled the potholes few months back  the potholes are back in the same place and also along the whole stretch of the road. The monsoon rains have made the potholes worse. I request BBMP to Re-Lay the road with concrete so that the potholes doesnt appear again and again.,Bad Patches,Major repairs to municipal property,Minor repairs to municipal property
Drainage chokes and blockages,Its one of the worst traffic clogged junction  where lots of vehicles goes in and out of Immadihalli main road and blocks the traffic and vehicles gets piled up for long distances always. So there has to be a proper traffic signal and traffic police men present here to prevent abrupt vehicular traffic.,Drainage chokes and blockages,Silt to be lifted on road,Overflowing drains or manholes
Municipal Land - Road   Footpath   Strom Water Drain,Immadihalli main road  Whitefield is a small road but very crowded place... Its footpaths are occupied by hawkers and vegetable vendors who makes the pedestrians to walk on the road... This makes hard for people to drive and creates lots of traffic jam. These hawkers and vendors has to be removed and BBMP should help the residents to claim and use the footpaths.,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain",Hawkers
Bad Patches,Condition of the road is very poor condition  due to heavy usage by Bagmane WTC Company/Employee vehicles. Road needs thick asphalting.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Collection point not attended properly,Garbage dumped on footpath near Gandhi nagar corporation school and cows left over thete,Collection point not attended properly,Silt to be lifted on road,Garbage not lifted from co-authorised collection point
Proper electric supply to municipal properties,Street light in Akshaynagar 2nd cross is not functioning from a long time. No action have been taken on this so far.,Proper electric supply to municipal properties,Minor repairs to municipal property,Major repairs to municipal property
Odour  foul smell  from drains,Woodies hotel connected to Tata Chroma is releasing the waste water from bathroom and kitchen on to 17th A Main Road in open. The area around that stinks and sometime the outflow of dirty water from first floor sprinkles on the padestrians,Odour  foul smell  from drains,Drainage chokes and blockages,Bad Patches
Bad Patches,Road Maintenance officer.,Bad Patches,Minor repairs to municipal property,Odour  foul smell  from drains
Bad Patches,Respected Authorities for Road maintenance.,Bad Patches,Bad patches potholes on roads,Repairs re-surfacing of roads footpaths
Drainage chokes and blockages,Woodies Hotel releases dirty water from its bathrooms and kitchen area openly in to 17th A main road in JP Nagar 2nd Phase (Behind Giri Apartments).The area stinks and some time the filth sprinkles on the padestrians on the road. Someone please visit the area and ask hotel to stop this.,Drainage chokes and blockages,Overflowing drains or manholes,Flooding during monsoon
Sweeping of road,I am resident of 3rd main 11th Cross Hoysalanagar  Ramamurthynagar. Everyday Garbage collector comes and picks-up garbage  but once in a month he is demanding of Rs.50 from each house. I request authorities to look into the complaint and remove the contractor  in place install new contractor. Thanking You samson babu,Sweeping of road,Garbage not lifted from house gully,Collection point not attended properly
Bad Patches,The HSR sector 2 main road has multiple bumpers  but none are painted. It becomes really risky to drive during late evening and night time. A couple of accidents have taken place due to it.,Bad Patches,Person falling in Manhole,Repair to damaged open SWD
Repair to damaged open SWD,Broken drain covers maybe because cars are being parked on them,Repair to damaged open SWD,Bad Patches,Bad patches potholes on roads
Garbage not lifted from co-authorised collection point,Garbage being dumped and burned near school,Garbage not lifted from co-authorised collection point,Collection point not attended properly,Garbage not lifted from house gully
Unauthorised Food Selling   Preparation,Past 6 months  we have been facing problem with monkey\'s around the layout. There area about 10-15 monkey  stay in telephone tower during night. In daytime  they enter house in search of food and shit all places.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Drainage chokes and blockages,This is an irritating junction just because of the wrecked up road... This is at the junction of Magadi road onto Link road. Please rectify this..,Drainage chokes and blockages,Silt to be lifted on road,Overflowing drains or manholes
Garbage not lifted from co-authorised collection point,This seems to be Bangalore wide problem. Pourakarmikas/Garbage contractors instead of lifting the garbage  they just burn unmindful of all sorts of materials (medicines  hospital waste  plastics  etc.) being burnt creating health hazards to people. They are myopic in their view to save on lifting the garbage and finding a easy method of disposal at the cost of environment degradation.,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Bad Patches,Bad road near by Hoodi Railway crossing to my house skylark arcadia,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages
Drainage chokes and blockages,There are posters on metro pillars being stuck which is giving andn ugly look   many party workers of varoius parties are doing this for their benefit and cheap publicity  spoiling the look and heritage of the roads   kindly remove them  and impose fines if possible,Drainage chokes and blockages,"""Providing damaged missing gratings manhole covers over SWD's""",Odour  foul smell  from drains
Municipal Land - Road   Footpath   Strom Water Drain,There is garbage piled up on the conservancy lane of tempo stand road next to chicken shop Lingainapalya  jogupalya  ward -89  bangalore the conservancy lane is not maintained well  garbage is being dumped  debris  people use it for natures call no sweeping is done  giving rise to dirty smell  mosquitoes breed  rats too  kindly clear the garbage debris  etc whatever and maintain the conservancy lane and see to that no one throws garbage here.,Municipal Land - Road   Footpath   Strom Water Drain,Hawkers,Non attendant of Nuisance Detector
Bad Patches,Near first circular road  a manhole is always leaking and the water gets stagnated on first circular road  and so the road\'s condition has become pathetic. Mr narendra babu says the manhole illegitimate so we cant stop water from leaking and so until that is stopped no point in asphalting the road. Do you think it can be resolved ????,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Street lighting,MR. SYED JAMEL  MR  NAGESH STREET LIGHT DIV EAST BBMP. OPP TO 7\\1 HOUSE GURUMURTHY STREET WARD 90 SAID IS NOT FUNCTIONG FOR 10 DAYS. THIS IS FOR YOUR KIND NOTICE  FOR ACTION .,Street lighting,Major repairs to municipal property,Bad patches potholes on roads
Street lighting,WARD 89 SAID ROAD PAST 9 DAYS STREET LIGHTS ARE NOT WORKING. JUST 1 STREET LIGHT OPP TO MAHAVIR STORES WORKING   WHY HAS TO OTHER STREET LIHGHTS   PLEASE SEE THAT IT STARTS WORKING. WARD 89 JOGPLYA ASST ENGR SHANTHINAGAR.,Street lighting,Major repairs to municipal property,Minor repairs to municipal property
Leaks in water lines,IN BETWEEN STREET LIGHT NO- 03 -08 TWO SPOTS LEAKAGE NOTICED AT 5 AM. OPP TO RED CROSS HOME   AND KENSINGTON ROAD ONE MORE LEAKAGE WAS NOTICED AND COMPLIANT LODGED. OUR SOCIETY CANT AFFORD WASTAGE OF WATER ITS PRECIOUS. WATER IS LIFE   PUT END TO THIS LEAKAGE IMMEDIATELY. YOU PLEASE MAKE SPOT VISIT. BWSSB ULSOOR SERVICE STATION.,Leaks in water lines,Flooding during monsoon,Cleaning of water entrance
Incorrect assessment of property,SAID ST LGHS IN D. BASKARN ROAD WARD 90 AS SEEN TODAY AT. 5 AM ARE NOT WORKING. STLH NO- 21 SAME NOT WORKINGFOR 10DAYS. BESCOM DITRUBUTION BOX 3 STREET LIGHTS AS SEEN TODAY AT 5AM NOT- WORKING.,Incorrect assessment of property,Fogging,Mosquito nuisance
Repairs re-surfacing of roads footpaths,Before more than 6 months they had dug the whole road.\nAnd it is not yet been repaired its creating a lot of problem.It is more difficult when it rains.It is not only our road even the parallel roads are badly dug! Please resolve this problem as soon as possible because it is effecting everyone\'s business here.,Repairs re-surfacing of roads footpaths,Bad patches potholes on roads,Bad Patches
Trade without License,I being a sufferer of a public nuisance am helpless to report an issue which is causing serious threat to my and my families\' health on a regular basis and which is not taken care of seriously till now.\n\nAt 4:00 AM everyday  they start their business and is breaking down my and my family\'s health - gradually raising serious health problems.\n\nI am taking about VMR Granites large granite cutting factory just beside my apartment in Vandana Earls Court in Kudlu Main Road  behind VGP Layout. The amount of noise the factory produces is tremendous. And I am sure you would not have wanted such a huge noisy environment beside your family  especially if you have children and parents. It is posing serious threat due to the following:\n\nAs per the directions provided by KSPCB  they were asked to build extra walls and the entrance facing away from the apartments. Also  they were asked to operate 10 - 12 hours daily.\n\nHowever  they are violating the norms without any heed to the authorities  and breaking the peace of silence of sleep as early as 4:00 AM morning every day. I \n\nhave even proof of their working procedures  whereas they are closing after 10:15 PM. Their normal working hours is approx 19 hours daily.\n\nThis way  we are not having proper night\'s sleep and those who stay in the day bear the wrath of noise.\n\nThis is a common problem which is faced by my fellow apartment owners as well.\n\nRequest you to please deal with this and help us out.,Trade without License,Running without licence,Unauthorised Food Selling   Preparation
Bad Patches,The road connecting from Papareddypalya circle to Erannapalya/Arunachalam Layout Road is full of Potholes and completely damaged and becomes nightmare to travel when it rains.\nPeople of this area are really fed up about the bad condition of roads. Tar on roads is completely worn. Please fix it as soon as possible and avoid inconvenience to Citizens.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Minor repairs to municipal property
Unauthorised Food Selling   Preparation,Can you share more details on khata extract and certificate?  Any reference link would be helpful.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Odour  foul smell  from drains,Apartment located near marathahalli  on silver spring road (behind Victoria meadows) has connected their drainage water to the Rain water canal. The canal construction is not been connected to the manhole or neither to the larger canal. Since the connectivity is very poor all the sewage water is been routed on the road and the situation is very worse when it rains. This road is been used by many people and we had complained regarding this issue to the area corporator and the apartment representative with zero action till now.\n\nThis has created a huge hygiene issue and foul smell around the area.  kindly help in resolving this issue.,Odour  foul smell  from drains,Mosquito nuisance,Removal of Debris
Unauthorised Food Selling   Preparation,What are all the documents required to purchase new flat in bangalore? I have seen many builders where they don\'t give OC but why BBMP  still approves the project which are in deviation plan.  I have also seen builders Don\'t give project approved plan .,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Cleaning of water entrance,Dear Sir \n\nI being a sufferer of a public nuisance am helpless to report an issue which is causing serious threat to my and my families\'s health on a regular basis and which is not taken care of seriously till now.\n\nAt 4:00 AM everyday  they start their business and is breaking down my and my familiy\'s health - gradually raising serious health problems.\n\nI am taking about VMR Granites large granite cutting factory just beside my apartment in Vandana Earls Court in Kudlu Main Road  behind VGP Layout. The amount of noise the factory produces is tremendous. And I am sure you would not have wanted such a huge noisy environment beside your family  especially if youhave children and parents. It is posing serious threat due to the following:\n\nAs per the directions provided by KSPCB  they were asked to build extra walls and the entrance facing away from the apartments. Also  they were asked to operate 10 - 12 hours daily.\n\nHowever  they are violating the norms without any heed to the authorities  and breaking the peace of silence of sleep as early as 4:00 AM morning every day. I have even proof of their working procedures  whereas they are closing after 10:15 PM. Their normal working hours is approx 19 hours daily.\n\nThis way  I and my helpless parents and siblings are not having proper night\'s sleep and those who stay in the day bear the wrath of noise.\n\nThis is a common problem which is faced by my fellow apartment owners as well.\n\nRequest you to please deal with this and help us out.,Cleaning of water entrance,Mosquito nuisance,Hawkers
Garbage not lifted from house gully,Hi \n\nI have observed that people are throwing garbage in a open place which was empty. Due to this facing insects and mosquitoes problem in neighbor houses. Don\'t know whose wrong is this (it may be with garbage cleaning people or with people who are throwing the garbage) if this action should be taken by BBMP  please suggest the working people of BBMP to clean the premises. If BBMP won\'t come under this picture in such type of places(means open space) then the people should be advised or intimated not to do those type of things. Place : 2nd cross  munniswamy reddy layout  doddanekundi - 560037,Garbage not lifted from house gully,Sweeping of road,Garbage lorry not reported for service
Minor repairs to municipal property,I am travaling in bmtc bus. Daily i am  taking bus ticket conductors are not giving chang they are writing chang in back side .when ever i will ask chang they will go frent . they are not giving chang.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Unauthorised Food Selling   Preparation,Dear Sir \n\nI being a sufferer of a public nuisance am helpless to report an issue which is causing serious threat to my and my families\'s health on a regular basis and which is not taken care of seriously till now.\n\nAt 4:00 AM everyday  they start their business and is breaking down my and my familiy\'s health - gradually raising serious health problems.\n\nI am taking about VMR Granites large granite cutting factory just beside my apartment in Vandana Earls Court in Kudlu Main Road  behind VGP Layout. The amount of noise the factory produces is tremendous. And I am sure you would not have wanted such a huge noisy environment beside your family  especially if youhave children and parents. It is posing serious threat due to the following:\n\nAs per the directions provided by KSPCB  they were asked to build extra walls and the entrance facing away from the apartments. Also  they were asked to operate 10 - 12 hours daily.\n\nHowever  they are violating the norms without any heed to the authorities  and breaking the peace of silence of sleep as early as 4:00 AM morning every day. I have even proof of their working procedures  whereas they are closing after 10:15 PM. Their normal working hours is approx 19 hours daily.\n\nThis way  I and my helpless parents and siblings are not having proper night\'s sleep and those who stay in the day bear the wrath of noise.\n\nThis is a common problem which is faced by my fellow apartment owners as well.\n\nRequest you to please deal with this and help us out.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,I have a 6 month old baby at home but still I have to leave 2 hrs before so that I can reach work on time.The distance which can be covered in 20 mins takes 1-2 hrs every day just because of traffic.Reason nobody know,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,The Road from Kundalahalli till Hope farm is in extremely bad and its been this way from almost 1 year or so...This being one one the main roads to reach IT companies causes inconvenience majority IT employees who like me have to travel on this road at least 10 times(to and fro) in a week. WE NEED A SOLUTION FOR THIS,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Odour  foul smell  from drains
Removal of Debris,This is a perennial issue here. Every 6 months the BBMP cleans the drainage and dumps the sludge on the footpath  which  in a couple of months falls back or flows back (in case there are rains) into the drainage. Is this the BBMP\'s idea of cleaning the drains? Will this issue ever get solved? Does the BBMP know what it\'s doing? Do they need to be taught what has to be done? Or are they not bothered?,Removal of Debris,Drainage chokes and blockages,Garbage not lifted from co-authorised collection point
Bad Patches,Request to repair the road which was dugged up by BWSSW few months back and not restored properly ...It is huge nuisance for the commuters on the service road.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,There are numerous potholes on the Balagare road and its a real task trying to navigate through them especially in the evening as there are no lights on the road and we have to completely depend on vehicle lights. Its devastating not only for public but also for the vehicles.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Garbage lorry not reported for service,Garbage collection is not proper in Munnekolala,Garbage lorry not reported for service,Garbage not lifted from co-authorised collection point,Silt to be lifted on road
Bad Patches,There are very bad roads in P.R Layout  Munnekolala. I have been residing here from last 2 years. It will be very difficult to go on these roads either by bike or by walk. Some times there will no street lights also in night times.,Bad Patches,Major repairs to municipal property,Odour  foul smell  from drains
Street lighting,Walking a few minutes towards Wind Tunnel Road is in one word a NIGHTMARE!  I invite any senior official or senior citizen or senior corporator to try this.  \nIt is a shameful situation.,Street lighting,Minor repairs to municipal property,Major repairs to municipal property
Mosquito nuisance,Reduce the traffic jam on Mahadevapura - Hopefarm route.. Its hell every day ..Lot of pollution . Need undepasses and flyover   metro,Mosquito nuisance,Fogging,Nuisance due to cockroaches
Unauthorised Food Selling   Preparation,I every day travel from Nagagasandra to Cooke town and spend around 1hour and 15minutes. It takes around 20 - 30 minutes just to cross Jalahalli from my home ( Nagasandra )  some times it is even worst. From my place to Jalahalli cross it is hardly 1.5 km and there are 4 signals  and recently Peenya Traffic police have added one more near Dasarahalli and it has become more worst as that road was closed earlier. Kindly do something.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised construction development,Every vacent site is being used as garbage dumping place. site no 8 on nehru road is used as a public toilet by people who pass through this road. Further dumping of garbage and left over food items attract birds stray dogs monkeys and rodands. Growth of wild plants and stagnation of water during rainy days results in breeding of mosquitos. This can be prvented by concerned authorieties,Unauthorised construction development,Municipal Land - Road   Footpath   Strom Water Drain,Hawkers
Bad Patches,I am resident of 31 cross L.R.Nagar. In my area the corporation people are not cleaning the roads properly. Because of this the entire road is stinking.,Bad Patches,Sweeping of road,Minor repairs to municipal property
Sweeping of road,Iam Pushparaj #41 3rd main 6th cross ayyappa block vannar pet bengaluru recident facing a problem of road cutting in our area. the concerned deparment should take the action on this,Sweeping of road,Garbage not lifted from house gully,Removal of Debris
Unauthorised Food Selling   Preparation,My name is Sathe resident of 2 cross Anepalya. I have applied for the voter I.d card in BBMP ward office in Neelsandra which is located in Anepalya road. After 4 months when I have went to take the card they are saying some person had took your application they are saying. What to do and whom to complain because I have given my address proof  age proof and 2 photos if anything happen means who is the responsible.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Drainage chokes and blockages,Jogupalya indiragandhi street  people are not identified our street because street entrance no name board in our street concern department take action for this problem,Drainage chokes and blockages,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain
Proper electric supply to municipal properties,I am monohar reddy domlur layout.in domlur village the big problem is streetdogs.more than 15 dogs are their in our street we r not able to walk on roads .those dogs bites everyone.we had given many complaints regarding this.but they are not doing their worjs properly.,Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property
Shortage of water supply,I am a resident of Rose garden 7 cross. In my area the corporation water is not good it is coming but the water is not in a good condition to drink.,Shortage of water supply,Contaminated water supply,Leaks in water lines
